filename, language, Ignore, Properties, JavaScript, JSON, Markdown, HTML, comment, blank, total
c:\Users\Johan\projects\turbo-umbrella\.editorconfig, Properties, 0, 8, 0, 0, 0, 0, 0, 2, 10
c:\Users\Johan\projects\turbo-umbrella\.eslintignore, Ignore, 3, 0, 0, 0, 0, 0, 1, 1, 5
c:\Users\Johan\projects\turbo-umbrella\README.md, Markdown, 0, 0, 0, 0, 2, 0, 0, 0, 2
c:\Users\Johan\projects\turbo-umbrella\package-lock.json, JSON, 0, 0, 0, 11928, 0, 0, 0, 1, 11929
c:\Users\Johan\projects\turbo-umbrella\package.json, JSON, 0, 0, 0, 63, 0, 0, 0, 1, 64
c:\Users\Johan\projects\turbo-umbrella\server\routes.js, JavaScript, 0, 0, 89, 0, 0, 0, 3, 9, 101
c:\Users\Johan\projects\turbo-umbrella\server\server.js, JavaScript, 0, 0, 35, 0, 0, 0, 12, 14, 61
c:\Users\Johan\projects\turbo-umbrella\src\components\app.js, JavaScript, 0, 0, 32, 0, 0, 0, 0, 5, 37
c:\Users\Johan\projects\turbo-umbrella\src\components\container-element-content.js, JavaScript, 0, 0, 42, 0, 0, 0, 0, 7, 49
c:\Users\Johan\projects\turbo-umbrella\src\components\container-elements.js, JavaScript, 0, 0, 68, 0, 0, 0, 1, 8, 77
c:\Users\Johan\projects\turbo-umbrella\src\components\container-tabs.js, JavaScript, 0, 0, 60, 0, 0, 0, 0, 6, 66
c:\Users\Johan\projects\turbo-umbrella\src\components\container.js, JavaScript, 0, 0, 14, 0, 0, 0, 0, 4, 18
c:\Users\Johan\projects\turbo-umbrella\src\components\content-templates\code-block.js, JavaScript, 0, 0, 35, 0, 0, 0, 0, 8, 43
c:\Users\Johan\projects\turbo-umbrella\src\components\content-templates\tag-connections.js, JavaScript, 0, 0, 38, 0, 0, 0, 0, 5, 43
c:\Users\Johan\projects\turbo-umbrella\src\components\content-templates\tag-sequencing.js, JavaScript, 0, 0, 50, 0, 0, 0, 0, 5, 55
c:\Users\Johan\projects\turbo-umbrella\src\components\content-templates\tag-settings.js, JavaScript, 0, 0, 35, 0, 0, 0, 0, 6, 41
c:\Users\Johan\projects\turbo-umbrella\src\components\content-templates\tag.js, JavaScript, 0, 0, 61, 0, 0, 0, 0, 5, 66
c:\Users\Johan\projects\turbo-umbrella\src\components\header.js, JavaScript, 0, 0, 29, 0, 0, 0, 0, 5, 34
c:\Users\Johan\projects\turbo-umbrella\src\components\index.js, JavaScript, 0, 0, 3, 0, 0, 0, 0, 1, 4
c:\Users\Johan\projects\turbo-umbrella\src\components\search-bar.js, JavaScript, 0, 0, 137, 0, 0, 0, 0, 14, 151
c:\Users\Johan\projects\turbo-umbrella\src\components\title.js, JavaScript, 0, 0, 24, 0, 0, 0, 0, 5, 29
c:\Users\Johan\projects\turbo-umbrella\src\index.html, HTML, 0, 0, 0, 0, 0, 10, 0, 2, 12
c:\Users\Johan\projects\turbo-umbrella\src\index.js, JavaScript, 0, 0, 8, 0, 0, 0, 0, 5, 13
c:\Users\Johan\projects\turbo-umbrella\src\parsers\gtm-parser\dictionaries\macros.js, JavaScript, 0, 0, 84, 0, 0, 0, 0, 2, 86
c:\Users\Johan\projects\turbo-umbrella\src\parsers\gtm-parser\dictionaries\operators.js, JavaScript, 0, 0, 39, 0, 0, 0, 0, 2, 41
c:\Users\Johan\projects\turbo-umbrella\src\parsers\gtm-parser\dictionaries\tags.js, JavaScript, 0, 0, 324, 0, 0, 0, 3, 2, 329
c:\Users\Johan\projects\turbo-umbrella\src\parsers\gtm-parser\dictionaries\triggers.js, JavaScript, 0, 0, 15, 0, 0, 0, 0, 2, 17
c:\Users\Johan\projects\turbo-umbrella\src\parsers\gtm-parser\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 1, 2
c:\Users\Johan\projects\turbo-umbrella\src\parsers\gtm-parser\parse-code.js, JavaScript, 0, 0, 33, 0, 0, 0, 0, 7, 40
c:\Users\Johan\projects\turbo-umbrella\src\parsers\gtm-parser\parse-gtm.js, JavaScript, 0, 0, 25, 0, 0, 0, 17, 8, 50
c:\Users\Johan\projects\turbo-umbrella\src\parsers\gtm-parser\parse-tags.js, JavaScript, 0, 0, 76, 0, 0, 0, 5, 23, 104
c:\Users\Johan\projects\turbo-umbrella\src\parsers\gtm-parser\parse-triggers.js, JavaScript, 0, 0, 62, 0, 0, 0, 0, 18, 80
c:\Users\Johan\projects\turbo-umbrella\src\parsers\gtm-parser\parse-variables.js, JavaScript, 0, 0, 69, 0, 0, 0, 12, 18, 99
c:\Users\Johan\projects\turbo-umbrella\src\parsers\gtm-parser\remove-inner.js, JavaScript, 0, 0, 7, 0, 0, 0, 0, 2, 9
c:\Users\Johan\projects\turbo-umbrella\src\parsers\gtm-parser\resolve-references.js, JavaScript, 0, 0, 38, 0, 0, 0, 0, 11, 49
c:\Users\Johan\projects\turbo-umbrella\src\utility\index.js, JavaScript, 0, 0, 16, 0, 0, 0, 0, 4, 20
Total, -, 3, 8, 1549, 11991, 2, 10, 54, 219, 13836